,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF CRITICAL VIOLATIONS
23304,50065983,ANDREWS CLASSIC ROADSIDE HAMBURGERS,BROOKLYN,445,ALBEE SQUARE,11201,2018,0,1.0
23305,50065984,"ANDREW'S CLASSIC BKLYN BAGELS,LLC",BROOKLYN,445,ALBEE SQUARE,11201,2018,0,1.0
23306,50065986,TWISTED ROOTZ,BROOKLYN,7905,FLATLANDS AVE,11236,2018,0,1.0
23307,50065986,TWISTED ROOTZ,BROOKLYN,7905,FLATLANDS AVE,11236,2019,0,1.0
23308,50065987,WETZEL'S PRETZELS,STATEN ISLAND,2655,RICHMOND AVE,10314,2018,0,1.0
23309,50065987,WETZEL'S PRETZELS,STATEN ISLAND,2655,RICHMOND AVE,10314,2019,0,1.0
23310,50065990,MICHELANGELO'S PIZZA,STATEN ISLAND,860,POST AVE,10310,2018,0,2.5
23311,50065994,BROADWAY CHICKEN AND GYRO,MANHATTAN,4927,BROADWAY,10034,2018,0,2.0
23312,50066003,GONG CHA,MANHATTAN,160,E 44TH ST,10017,2018,0,1.0
23313,50066013,JOEY PEPPERONI'S PIZZA,BRONX,114,E FORDHAM RD,10468,2018,0,1.0
23314,50066022,SOUEN,MANHATTAN,326,E 6TH ST,10003,2018,0,2.0
23315,50066022,SOUEN,MANHATTAN,326,E 6TH ST,10003,2019,0,1.0
23316,50066027,DILL AND PARSLEY,MANHATTAN,425,MADISON AVE,10017,2018,0,1.0
23317,50066027,DILL AND PARSLEY,MANHATTAN,425,MADISON AVE,10017,2019,0,1.0
23318,50066030,DULCE VIDA LATIN BISTRO,MANHATTAN,1219,LEXINGTON AVE,10028,2018,0,1.0
23319,50066035,LOS ANDES RESTAURANT PANDERIA,QUEENS,10616,CORONA AVE,11368,2018,0,3.0
23320,50066038,Red Cafe,QUEENS,4462,21ST ST,11101,2018,0,1.5
23321,50066038,Red Cafe,QUEENS,4462,21ST ST,11101,2019,0,1.0
23322,50066049,BLUE BOTTLE COFFEE,MANHATTAN,10,E 53RD ST,10022,2019,0,1.0
23323,50066056,Brooklyn Wing House,BROOKLYN,1218,UNION ST,11225,2018,0,1.0
23324,50066061,KHALIL BIRYANI HOUSE,BRONX,1445,OLMSTEAD AVE,10462,2019,0,1.0
23325,50066064,NOI DUE CARNE,MANHATTAN,141,W 69TH ST,10023,2018,0,2.0
23326,50066065,LAND OF PLENTY,MANHATTAN,204,E 58TH ST,10022,2018,0,2.0
23327,50066065,LAND OF PLENTY,MANHATTAN,204,E 58TH ST,10022,2019,0,1.0
23328,50066067,ANTHONY'S,QUEENS,22202,UNION TPKE,11364,2018,0,2.0
23329,50066067,ANTHONY'S,QUEENS,22202,UNION TPKE,11364,2019,0,2.0
23330,50066069,LITTLE SKIPS EAST,BROOKLYN,1643,BROADWAY,11207,2018,0,1.0
23331,50066073,EL MORDISCO RESTAURANT & SPORT BAR,QUEENS,8514,ROOSEVELT AVE,11372,2018,0,1.0
23332,50066073,EL MORDISCO RESTAURANT & SPORT BAR,QUEENS,8514,ROOSEVELT AVE,11372,2019,0,3.0
23333,50066076,BROWN BUTTER,BROOKLYN,413,TOMPKINS AVE,11216,2018,0,1.0
23334,50066077,EGYPT,QUEENS,3091,STEINWAY ST,11103,2018,0,2.0
23335,50066093,MY CUBAN SPOT,BROOKLYN,488,CARROLL ST,11215,2018,0,1.0
23336,50066094,PS KITCHEN,MANHATTAN,246,W 48TH ST,10036,2018,0,1.0
23337,50066094,PS KITCHEN,MANHATTAN,246,W 48TH ST,10036,2019,0,1.0
23338,50066100,GINO SORBILLO,MANHATTAN,334,BOWERY,10012,2018,0,1.3333333333333333
23339,50066104,TBAAR,QUEENS,13670,ROOSEVELT AVE,11354,2018,0,1.0
23340,50066104,TBAAR,QUEENS,13670,ROOSEVELT AVE,11354,2019,0,1.0
23341,50066109,KORONET PIZZA,MANHATTAN,2848,BROADWAY,10025,2018,0,1.0
